"name","basin_area_1000km2","tss_tonkm2y1","trapping_eff","fournier_precip_mmd1","fournier_slope_mkm1","lithology_class","grass_pct","wetland_rice_pct","poc_pred_tonkmyr1","pn_pred_tonkmyr1","pp_pred_tonkmyr1","source"
"Amazon",5854,206,0,7.3,7,3,2,0,2.9,0.5,0.1,1
"Nile",3826,31,0.92,2.9,14,4,15,0,0.6,0.1,0,1
"Zaire",3699,12,0,5.6,11,1,3,0,1.4,0.2,0.1,1
"Mississippi",3203,156,0.06,2.5,7,3,1,0,0.4,0.1,0,1
"Amur",2903,18,0.15,2.3,10,1,3,0,0.2,0,0,2
"Parana",2661,30,0.59,4.3,8,3,11,0,1,0.2,0,1
"Yenisei",2582,5,0.26,1.8,11,4,0,0,0.4,0.1,0,1
"Ob",2570,6,0.03,1.5,5,3,12,0,0.3,0.1,0,1
"Lena",2418,7,0.01,1.5,12,4,0,0,0.3,0,0,1
"Niger",2240,18,0.38,4,10,1,8,0,0.6,0.1,0,1
"Zambezi",1989,10,0.76,4.8,12,1,32,0,0.8,0.1,0,1
"Chang Jiang",1794,268,0.66,4,17,2,5,6,1.6,0.2,0.1,1
"Mackenzie",1713,24,0.12,1.3,14,3,0,0,0.3,0,0,1
"Ganges",1628,320,0.01,7.7,19,3,0,12,6.4,0.8,0.3,1
"Chari",1572,2,0.01,3.4,8,1,18,0,0.4,0.1,0,3
"Volga",1463,18,0.93,1.6,3,3,10,0,0.2,0,0,2
"St. Lawrence",1267,3,0.8,2.6,6,4,0,0,0.7,0.1,0,1
"Indus",1143,219,0.57,1.9,20,1,0,3,0.3,0,0,1
"Syr-Darya",1070,11,0.57,0.9,11,1,68,0,0.3,0,0,2
"Orinoco",1039,145,0.83,8.6,12,3,0,0,5.1,0.8,0.2,1
"Murray",1032,29,0.73,1.4,4,3,41,0,0.2,0,0,1
"Shatt el Arab",967,109,0.78,1.2,12,2,8,0,0.4,0.1,0,3
"Orange",944,94,0.96,1.3,14,1,38,0,0.6,0.1,0,1
"Huang He",894,1231,0.95,2.2,16,4,19,3,0.3,0,0,1
"Yukon",852,70,0,1.2,20,3,0,0,0.4,0.1,0,1
"Senegal",847,2,0.43,2.8,5,1,47,0,0.4,0.1,0,1
"Colorado (Ari)",808,149,0.51,1,27,6,6,0,0,0,0,1
"Rio Grande (US)",805,25,0.99,1.5,19,2,25,0,0,0,0,1
"Danube",788,86,0.49,2.4,18,3,3,0,1,0.1,0,1
"Mekong",774,194,0.14,6.8,12,3,2,12,3.7,0.5,0.2,1
"Tocantins",769,98,0.85,7.6,6,4,30,0,3.5,0.6,0.2,1
"Columbia",724,21,0.67,2,33,6,6,0,0.5,0.1,0,1
"Kolyma",666,24,0,1,15,1,0,0,0.3,0.1,0,1
"Sao Francisco",615,10,0.92,4.7,9,4,7,1,0.9,0.1,0,1
